Issue key,Custom field (Release Note),Summary,Custom field (Git Pull Request),Custom field (External Issue URL),Components
AC-12868,Remove Deprecations- PhpUnit10 WebApi Tests,"",Resolve the PHPUnit Deprecations,<https://github.com/magento/magento2/commit/edcd0dcc>,Framework
AC-12869,"The system now correctly references classes in modules, ensuring smoother operation and preventing crashes due to non-existing classes. This includes a bugfix in the Indexer and Creditmemo modules, and the implementation of the HttpGetActionInterface in the PrintAction class. Previously, incorrect class references led to errors and potential system crashes, and certain functionalities, such as the filename for creditmemo PDF files and reindexing of stocks, were not working as expected.",[Issue] Fixes incorrect classes being referenced in Magento modules.,<https://github.com/magento/magento2/pull/37784>,https://github.com/magento/magento2/issues/39126,Framework
AC-12882,Investigate the Integration build after component upgrade,"","",<https://github.com/magento/magento2/commit/b34c0a75>,Framework
AC-13011,"",2.4.8-beta1 EE Reports are not generating due to magento exception,"","","Framework, Product"
AC-1306,"The system now excludes CSS related to disabled modules from the final CSS output files, ensuring that unnecessary styles are not loaded. Previously, CSS related to disabled modules was included in the final CSS output files, leading to the loading of extra, unnecessary styles.",Static content is deploying for disabled modules,<https://github.com/magento/magento2/pull/32922>,https://github.com/magento/magento2/issues/24666,UI Framework
AC-5969,"The system now correctly triggers product alert emails by ensuring the store identifier is of the correct data type. Previously, product alert emails were not being sent due to a type mismatch in the store identifier.","AlertProcessor - Argument #2 ($storeId) must be of type int, string given",<https://github.com/magento/magento2/commit/0574ac23>,https://github.com/magento/magento2/issues/35602,Product
AC-6071,"The storefront customer dashboard page now loads as expected when a customer logs in. Previously, customers could log in, but this page showed a 404 error. [GitHub-35838](https://github.com/magento/magento2/issues/35838)",Customer is logged in but showing 404 error in frontend.,<https://github.com/magento/magento2/pull/36263>,https://github.com/magento/magento2/issues/35838,Account
AC-6738,"The system now includes a unique key on the 'option_id' and 'store_id' columns in the 'eav_attribute_option_value' table, preventing the possibility of an option having multiple values for the same store view. Previously, faulty code could result in an option having multiple values for the same store view, causing issues when editing products or attributes.",Missing unique key on eav_attribute_option_value table,<https://github.com/magento/magento2/pull/28796>,https://github.com/magento/magento2/issues/24718,Catalog
AC-6754,"The system now correctly uses the term ""subscribers"" in the JavaScript file, ensuring proper functionality of the related features. Previously, a typographical error in the JavaScript file resulted in the incorrect use of the term ""subsctibers"".",typo error on a js file.,<https://github.com/magento/magento2/pull/36171>,https://github.com/magento/magento2/issues/36163,Framework
AC-6975,"All new indexers are by default in **[!UICONTROL Update by Schedule]** mode.  Previously, the default mode was **[!UICONTROL Update on Save]**. Existing indexers are not affected. [GitHub-36419](https://github.com/magento/magento2/issues/36419)",[Issue] Set default indexer mode to 'schedule',<https://github.com/magento/magento2/commit/0b410856>,https://github.com/magento/magento2/issues/36419,Admin UI
AC-7050,"The system now correctly displays the category selection tree in the product edit section in the same order as set in Catalog->Categories, making product administration easier in large catalogues. Previously, the category tree in the product edit section was displayed in the order of category creation, regardless of the display order set in Catalog->Categories.",Category selection tree in edit product is not in the same order as set in Catalog->Categories,<https://github.com/magento/magento2/pull/36104>,https://github.com/magento/magento2/issues/36101,"Catalog, Product"
AC-7700,"The system now automatically removes unused changelog tables when an index is switched from 'update on schedule' to 'update on save', marking the index as invalid to ensure no entries are missed. Previously, switching an index to 'update on save' would leave unused changelog tables in the system and mark all changed indexes as 'valid'.",[Issue] Drop indexer changelog tables on mview unsubscribe,<https://github.com/magento/magento2/pull/25859>,https://github.com/magento/magento2/issues/29789,Admin UI
AC-7976,"The system now supports custom scalar types for GraphQL schema, allowing developers to define custom scalar types and implementations. This feature can be particularly useful for expressing values that may require validation, such as HTML, emails, URLs, dates, etc., and for more advanced cases like EAV attributes. Previously, the system did not support the processing of custom scalar types in GraphQL.",[Issue] Introduced support of custom scalar types for GraphQL schema,"<https://github.com/magento/magento2/pull/34651>, <https://github.com/magento/magento2/commit/0574ac23>",https://github.com/magento/magento2/issues/36877,"Framework, GraphQL"
AC-8089,Investigate the league/flysystem Composer dependencies upgrading to latest version,"","","",Framework
AC-8103,"The system now allows for the translation of the text ""VAT"", ""T"", ""F"" in the address renderers, enabling users to translate these terms to the specific language of the store. Previously, these terms were not translatable, forcing users to employ a workaround.",Translation VAT in address renderer,<https://github.com/magento/magento2/pull/36943>,https://github.com/magento/magento2/issues/36942,Cart & Checkout
AC-8297,"The system now uses the visibility class for the category product indexer instead of hardcoded values, enhancing modularity. Previously, hardcoded values were used in the category product indexer, limiting flexibility and adaptability.","[Issue] Use visibility class for category product indexer, instead of hardcoded values",<https://github.com/magento/magento2/pull/37199>,https://github.com/magento/magento2/issues/37200,Catalog
AC-8353,"The system now adheres to coding standards by removing the forbidden `@author` tag from certain modules, ensuring cleaner and more standardized code. Previously, the `@author` tag was present in some modules, which was against the established coding standards.",[Issue] Remove forbidden `@author` tag,<https://github.com/magento/magento2/pull/37003>,https://github.com/magento/magento2/issues/37253,Framework
AC-8356,"The system now adheres to the coding standard by removing the forbidden `@author` tag from certain modules, ensuring cleaner and more standardized code. Previously, the `@author` tag was present in some modules, which was against the established coding standards.",[Issue] Remove forbidden `@author` tag from `Magento_Customer` (part 2),<https://github.com/magento/magento2/pull/37000>,https://github.com/magento/magento2/issues/37250,Framework
AC-8659,"The system now correctly applies a 4-space indent to the composer and auth.json files, following a fix to a syntax error in the editorconfig. Previously, due to a space in the editorconfig syntax, these files were incorrectly formatted with a 2-space indent.","Space in editorconfig syntax breaks rule for [{composer,auth}.json]",<https://github.com/magento/magento2/pull/37395>,https://github.com/magento/magento2/issues/37394,Framework
AC-8951,"The system now correctly sorts the options of physical gift card products when queried via GraphQL, ensuring consistent rendering with the Luma theme. Previously, the sort order was incorrect according to luma theme, leading to incorrect display and ordering of options such as sender name, recipient name, and amount.",Physical Giftcard options don't have the right sorting order,<https://github.com/magento/magento2/commit/1bafc571>,"",GraphQL
AC-8984,"The system now adds more colors to the output of certain setup command line interface (CLI) commands, enhancing readability and user experience. Previously, the output of these commands was harder to read due to lack of color differentiation.",[Issue] Adds some more colors to the output of certain setup cli commands,<https://github.com/magento/magento2/pull/29298>,https://github.com/magento/magento2/issues/29335,Framework
AC-9007,"The system now ensures that backend block context is not loaded on the frontend, preventing the creation of unnecessary backend sessions and potential session locks. Previously, the system was incorrectly loading the backend block context on the frontend, leading to the creation of backend sessions and potential session locks.",[Issue] Do not load backend block context on frontend,<https://github.com/magento/magento2/pull/36368>,https://github.com/magento/magento2/issues/37617,UI Framework
AC-9157,"The system now ensures that the resolver cache is not invalidated when creating, editing, moving, or deleting a staging update, but only when the staging update is applied to the entity. Previously, the resolver cache was invalidated prematurely, even before the staging update was applied, which led to unnecessary cache invalidations.",[GraphQL] Resolver Cache is Invalidated When Creating/Editing/Moving/Deleting a Staging Update,<https://github.com/magento/magento2/commit/0c53bbf7>,"",GraphQL
AC-9375,"The system now correctly updates the currency code in the New Product widget when the currency is changed in the frontend, ensuring consistency in currency display across the site. Previously, changing the currency in the frontend did not affect the currency code displayed in the New Product widget.",Currency code not change in New product widget,<https://github.com/magento/magento2/pull/37899>,https://github.com/magento/magento2/issues/37898,Catalog
AC-9386,"Commerce now renders the **[!UICONTROL Email]** field on the checkout shipping and payment pages as expected. Previously, this field was either absent or rendered slowly.",[Random BUG] Email field isn't rendered or takes a lot of time show up in Checkout Shipping or Payment page,<https://github.com/magento/magento2/commit/e1babcfd>,"","Cart & Checkout, Checkout/ One Page Checkout"
AC-9432,"The system now supports the use of CIDR ranges in the maintenance mode allow IP list, enabling a range of IP addresses to bypass maintenance mode. Previously, the maintenance mode allow IP list only permitted individual IP addresses to bypass maintenance mode.",[Issue] Allow use of CIDR ranges in maintenance allow list,<https://github.com/magento/magento2/pull/30699>,https://github.com/magento/magento2/issues/37943,Targeting
AC-9569,"GraphQL customer resolver cache is now invalidated as expected when a customer is edited or deleted through imports. Previously, the cache was not invalidated, and customer data could be edited or deleted during import.",[GraphQL Resolver] Customer Resolver Data is Not Invalidated From Import,<https://github.com/magento/magento2/commit/0574ac23>,"","GraphQL, Performance"
AC-9607,"The system now allows successful CSV export of the Companies grid data in the admin panel, even when filters such as 'Outstanding Balance' and 'Company Type' are applied. Previously, applying certain filters and attempting to export the grid data would result in a failure and an exception being thrown.",Filtering Company Grid & Then Attempting Grid CSV Export Will Fail & Throw Exception,<https://github.com/magento/magento2/commit/44cef3a9>,"","B2B, Framework"
AC-9630,"The system now only adds the modified country to the 'general/region/state_required' configuration when a new country with required states is added, preventing any disruption to custom code that assumes the region is disabled. Previously, adding a new country with required states would reset the 'general/region/state_required' configuration to default countries with a required state, potentially breaking the shop.",Upgrading Magento resets general/region/state_required when new country with required state/region is added.,<https://github.com/magento/magento2/pull/38076>,https://github.com/magento/magento2/issues/37796,Framework
AC-9638,"The system now correctly displays the folder tree and allows image uploads in the WYSIWYG editor on the product page, even after expanding the 'Image and Videos' tab first. Previously, expanding the 'Image and Videos' tab first resulted in the folder tree not being displayed and an error message when attempting to upload an image in the WYSIWYG editor.",[Issue] file upload issue in WYSIWYG editor on product page,<https://github.com/magento/magento2/pull/38025>,https://github.com/magento/magento2/issues/38026,Content
AC-9712,Difference in less compilation between php & nodejs library (grunt) with complicated `calc` expressions,https://github.com/magento/magento2/issues/37841,Fix the difference in less compilation between php & nodejs library (grunt) after update wikimedia/less.php:^5.x,<https://github.com/magento/magento2/commit/b34c0a75>,Framework
AC-9843,"The `bin/magento i18n:collect-phrases -o` command  now correctly collects and adds new phrases from JavaScript and .phtml files, ensuring that translations are accurately reflected in the translation file. Previously, the system failed to include multiline translation phrases from JavaScript files and phrases from .phtml files in the translation file, leading to incomplete or incorrect translations.",i18n:collect-phrases breaks the translations integrity,<https://github.com/magento/magento2/commit/0c53bbf7>,"",Admin UI
ACP2E-1411,The bundle product does not display on the additional websites using additional stock.,[Test] Bundle products with 0 inventory showing on store front,"","",Inventory / MSI
ACP2E-1716,The performance of fetching bundle products through GraphQl is improved.,Site down after upgrade,"<https://github.com/magento/magento2/commit/ba25af8a>, <https://github.com/magento/inventory/commit/bdbf97ea>","","GraphQL, Inventory / MSI, Performance"
ACP2E-2055,Fixed the issue when Adobe Commerce customers encountered duplicate orders placed with the same QuoteID,Duplicate orders with same Quote Id at same time with few time difference,<https://github.com/magento/magento2/commit/f89a447e>,"",Cart & Checkout
ACP2E-2102,"""Export VCL for Varnish 7"" button was added to the Admin panel.",No Export VCL for Varnish 7 button in admin panel,<https://github.com/magento/magento2/commit/a4fbf702>,"",Install & Administer
ACP2E-2224,Regular price is now being displayed on product listing pages for configurable products that have children products with special price.,Regular Price does not show on PLP for Configurable Product ,<https://github.com/magento/magento2/commit/a4fbf702>,"",Catalog
ACP2E-2300,Restrict the sitemap generated categories and products to the categories and product assigned only to the public shared catalog and / or the catalog category permission setup., B2B - sitemap includes products/categories not assigned to Shared Catalog,<https://github.com/magento/magento2/commit/ea79f7dd>,"","Analytics / Reporting, B2B"
ACP2E-2392,Wdigets are now being properly rendered within dynamic blocks.,[On-PREM] Dynamic block issue,<https://github.com/magento/magento2/commit/a12063bd>,"",Content
ACP2E-2470,"After the fix, selecting the payment method during checkout while not logged in doesn't terminate the persistent session.",Persistent shopping cart cleared during checkout step,<https://github.com/magento/magento2/commit/a4fbf702>,"",Cart & Checkout
ACP2E-2478,Stock is now displayed according to selected store.,Stock information not showing right on Visual Merchandising grid,<https://github.com/magento/inventory/commit/bdbf97ea>,"",Catalog
ACP2E-2494,Improved query performance for sales rules - from around 150ms to single digit ms.,Performance issue when loading product attributes in cart rules,<https://github.com/magento/magento2/commit/ba25af8a>,"",Performance
ACP2E-2518,"Previously, for the different stores products can be reordered from the other store. After this fix is applied only the same store , same scope product can be reordered when the customer account share is enabled",Reorder adds non assigned product to cart,<https://github.com/magento/magento2/commit/f89a447e>,"",Cart & Checkout
ACP2E-2519,"Earlier, when an order was placed with multi-shipping, the coupon code count did not update in the ""Time Used"" column on the Manage Coupon Codes tab. Now, the correct count is displayed in both the ""Time Used"" reflecting the desired values with multi shipping.","The coupon code count does not update in the   ""Time Used"" column in the Manage Coupon Codes tab if an order is placed with multi-shipping.",<https://github.com/magento/magento2/commit/4745100c>,"","Admin UI, Shipping"
ACP2E-2529,Users will be able to fetch gift card balance in the view and edit cart screen. Previously these details were not shown while reCAPTCHA enabled.,Exception when checking a gift card balance when Recaptcha is enabled,<https://github.com/magento/magento2-page-builder/commit/4a2795ea>,"",UI Framework
ACP2E-2570,"The system now supports the generation of Advance Reporting data files for extra-large datasets by loading and writing reports in batches of 10,000. Previously, the Advance Reporting module was unable to generate data files for extra-large datasets, causing ""MySQL server has gone away"" errors during the execution of the analytics_collect_data cron job.",Advance Report is not working,<https://github.com/magento/magento2/commit/a12063bd>,"",Analytics / Reporting
ACP2E-2602,Customer attributes are available while creating account from invitation.,Customer attribute not visible when creating account from invitation,<https://github.com/magento/magento2/commit/39d54c2d>,"",Promotion
ACP2E-2606,Now the pagebuilder allows the youtube no-cookie url in the form element settings of the validation rules. Previously the youtube no-cookie url is not working in pagebuilder.,YouTube nocookie url not working in Page Builder,"","",Content
ACP2E-2607,'-,MergeCart mutation throws exception when source and destination carts have same bundle items,"<https://github.com/magento/magento2/commit/c971859e>, <https://github.com/magento/inventory/commit/db0620da>","","GraphQL, Inventory / MSI"
ACP2E-2617,"The system now successfully completes the sales rule indexer even with a large number of combined filter groups, ensuring that cart rule conditions are applied to the cart as expected. Previously, the sales rule indexer would fail to complete when there were a large number of combined filter groups, leading to an error message and preventing the application of cart rule conditions.",Sales rule indexer stopped running,"","","Performance, Promotion"
ACP2E-2620,"The ""Shopping cart"" on the left side gets updated when selecting the items and ""Move to shopping cart"" from the right side in the admin side. Previously this functionality was not working because the transformed cart items were not getting empty from the session.","In admin, the ""Shopping Cart"" on left side doesn't get updated when selecting the items and ""Move to Shopping Cart"" from the right side",<https://github.com/magento/magento2/commit/39d54c2d>,"",Cart & Checkout
ACP2E-2621,"The system now updates the widget content on a CMS page when a product is set as new and saved, ensuring that the page displays the updated product collection. Previously, the page was not updated to show the new product due to the incorrect cache identities used for the widget in the cache.",Widget content is not updating on cms page,<https://github.com/magento/magento2/commit/f89a447e>,"",Catalog
ACP2E-2622,Now the user can add the international prefix 00 in the telephone field of order address,Unable to save changes to phone number in existing order details,<https://github.com/magento/magento2/commit/12e071c3>,https://github.com/magento/magento2/issues/38201,Order
ACP2E-2627,"The system now immediately updates coupon usages when an order is created or cancelled, and adds rule usages to a queue to prevent potential deadlocks. This ensures that a coupon code with a ""Uses per Coupon"" limit is released and can be reused if an order is cancelled due to a failed payment. Previously, the system did not release the coupon code for reuse in such cases, resulting in an error message stating that the coupon code was not valid.",Coupon code with Uses per Coupon limit is not getting released for payment failed with order cancel,<https://github.com/magento/magento2/commit/c971859e>,"",Promotion
ACP2E-2630,Bundle product saving performance improvement.,Issues saving advanced pricing on bundle products,<https://github.com/magento/magento2/commit/b2286ecf>,"",Catalog
ACP2E-2641,Generate correct url rewrites for children with parent with custom scoped url key,Multi Store Wrong category url-rewrite for third level category,<https://github.com/magento/magento2/commit/ea79f7dd>,"",SEO
ACP2E-2642,"Now GraphQL with PageBuilder contents response cache is invalidated, when the PageBuilder content related entities are updated.",Fastly cache not cleared for content staging update,<https://github.com/magento/magento2/commit/ba25af8a>,"",GraphQL
ACP2E-2646,"After the fix, the discount is shown correctly for each order of the same multi-shipping quote.",[Cloud] Sales Rule not applied to first order of Multi Shipping,<https://github.com/magento/magento2/commit/f89a447e>,"",Cart & Checkout
ACP2E-2652,"Now saving catalog price rule will not invalidate indexers, instead it will reindex affected products only",[On-Premise] Re-index process is inefficient when creating Catalog Price Rules,<https://github.com/magento/magento2/commit/f89a447e>,"",Catalog
ACP2E-2653,"The issue has been fixed after applying the check while requesting a product search with category aggregations through a GraphQL query when the admin configuration setting of ""Catalog > Layered Navigation > Display Category Filter"".",Disabling Layered Navetion - Does not remove aggregation from Graphql,<https://github.com/magento/magento2/commit/12e071c3>,"",GraphQL
ACP2E-2664,"The system now correctly processes multiple parallel requests to add the same product to the cart into a single line item, preventing the creation of separate line items for the same SKU. Previously, making parallel requests to add the same product to the cart via the REST API would result in multiple line items for the same SKU.",[Cloud] Production Parallel Requests to Add Same Product to Cart Result In Two Separate Items In The Cart rest API,<https://github.com/magento/magento2/commit/f89a447e>,"",Cart & Checkout
ACP2E-2672,"Now Special Price bulk update API will create a single campaign for each date range instead of multiple scheduled updates for each product and date range. Also, it will support concurrent API requests for faster processing of large number of SKUs.",[Cloud] Special price API endpoint returns error when updating large numbers of products concurrently,<https://github.com/magento/magento2/commit/f89a447e>,"","Catalog, Pricing, Staging & Preview"
ACP2E-2673,The price partial indexing performance has been improved by optimizing some of the delete queries used within the indexing process.,Price partial indexing performance,<https://github.com/magento/magento2/commit/ba25af8a>,"",Performance
ACP2E-2676,"The issue preventing the successful purchase of a product from a gift registry has been resolved, allowing orders to be placed and the gift registry to be updated appropriately. Previously, an error occurred when attempting to place an order from a gift registry, preventing the completion of the purchase.",Issue with Ordering from Gift Registry Magento 2.4.4 Enterprise/Commerce,"",https://github.com/magento/magento2/issues/35432,Cart & Checkout
ACP2E-2679,"Now datetime attributes will have time part in exported data. It will be also possible to update the time for such attributes using import. Also if ""Fields Enclosure"" is enabled, attribute values in ""additional_attributes"" column will be enclosed within double quotes.",Updating time of Date and Time type product attributes via CSV import,<https://github.com/magento/magento2/commit/ea79f7dd>,https://github.com/magento/magento2/issues/38306,Catalog
ACP2E-2687,"Previously for restricted admin adding a new dynamic block threw an error. After implementing this fix restricted admin can successfully add the dynamic block, and edit the block without any error",Permission Issue for accessing Dynamic Block,"","",Admin UI
ACP2E-2689,Now the appropriate error message was added to display when the website id is wrong in the request. Previously there was no validation when the website id was wrong in the request.,No Appropriate error message when website id is wrong in the request,<https://github.com/magento/magento2/commit/39d54c2d>,"",Catalog
ACP2E-2692,Partial reindex now works correctly with big changelog in case of secondary db connection,"""Base table or view not found"" error occurs when partial indexing is executed",<https://github.com/magento/magento2/commit/ba25af8a>,"",Framework
ACP2E-2693,Adding blocks via CMS Page content section does not lead to exception anymore,[Cloud] Frontend not loading due to issue in newsletter template,<https://github.com/magento/magento2/commit/ea79f7dd>,"",Content
ACP2E-2703,"The system now supports scope authorized access for REST API admin tokens and Magento_Sales endpoints, ensuring that the REST API only displays orders that admin has access to. Previously, the REST API would display orders from all websites, regardless of the admin user's assigned website.",REST API showing orders from another website. ,"","",APIs
ACP2E-2704,The reordering processwill not generate its own errors now. It will rely on cart listing built-in item checks.,Getting Unable to send the cookie. Size of 'mage-messages' while trying to Reorder,<https://github.com/magento/magento2/commit/ba25af8a>,"",Cart & Checkout
ACP2E-2708,Allow for a restricted admin user to add and sort products under a category contained under the root category assigned under restricted website.,Cannot change positions for the category products in the allowed website as a restricted admin user,"","","Admin UI, Catalog"
ACP2E-2710,Import report execution time shows correctly independent of admin locale.,Wrong execution time for import operation in Import History grid,<https://github.com/magento/magento2/commit/ea79f7dd>,"",Import / export
ACP2E-2729,"The system now ensures ADA compliance by removing unsupported CSS properties and replacing them with supported ones in the print.css file. Previously, the use of unsupported CSS properties led to browser compatibility issues.",[CLARIFICATION] Feature Request ADA Compliance,<https://github.com/magento/magento2/commit/57a32313>,"",UI Framework
ACP2E-2734,"The system now includes a configuration option async_sending_attempts to specify the number of attempts to send an email before stopping, improving the handling of failed email sends when ""Asynchronous sending"" is enabled. Previously, if an email failed to send, the system would continuously attempt to resend it, resulting in an endless loop of error messages in the system log.",Emails are failing to send,<https://github.com/magento/magento2/commit/b2286ecf>,"",Order
ACP2E-2737,"Importing the customer while Account Sharing set to Global, imported customer that exists in the system is updated.
Previously imported customer was duplicated.",Duplicate customers being created with same email address using import,<https://github.com/magento/magento2/commit/c971859e>,"",Import / export
ACP2E-2738,Display correct Delivery Date for Fedex Carrier.,Tracking Window showing wrong Expected Delivery Date,<https://github.com/magento/magento2/commit/57a32313>,"",Shipping
ACP2E-2755,2FA with Duo security option now generates correct signature for Rest API,Issue with rest api after enable 2FA Duo,"","",APIs
ACP2E-2756,"When issuing a credit memo, the order status is no longer changed to ""completed"" if there are items that haven't been shipped yet.",[Cloud] Order Status changed to complete when partially refund of a partially shipped order,<https://github.com/magento/magento2/commit/7e0e5582>,"",Order
ACP2E-2757,"Previously, the Yes/No custom attribute with price_* attrbute_code does not work with indexing. After this fix, the Yes/No custom attribute works as expected.",Products not showing on category and search but direct links are working,<https://github.com/magento/magento2/commit/ba25af8a>,"","Catalog, Search"
ACP2E-2763,Table Rate shipping method now is shown even if Free Shipping becomes available after coupon applying,Table Rates Still Showing Even Though Free Shipping Is Applied,<https://github.com/magento/magento2/commit/b2286ecf>,"",Shipping
ACP2E-2765,mftf test fix,MFTF test AdminCreatingShippingLabelTest failing due to credentials not added in Jenkins environment,<https://github.com/magento/magento2/commit/ea79f7dd>,"",Shipping
ACP2E-2770,"A new setting has been added that allows you to apply transliteration to product URL or not. Setting is available here: Stores > Configuration > Catalog > Catalog > Search Engine Optimization: ""Apply transliteration for product URL""",Double-byte characters (special characters) in Product Name field blocks product creation in backend,<https://github.com/magento/magento2/commit/b2286ecf>,"",SEO
ACP2E-2785,Product images are not removed while deleting staging update.,Product image is lost after deleting an existing Scheduled Update that doesn't affect the image,<https://github.com/magento/magento2/commit/c8931218>,"",Catalog
ACP2E-2787,The grid's store view filters now properly display apostrophes,Apostrophe in store view name is replaced by &#039;,<https://github.com/magento/magento2/commit/39d54c2d>,https://github.com/magento/magento2/issues/38395,Admin UI
ACP2E-2791,The store ID of the customer is now implemented properly per website scope for the admin customer edit form.,Not able to Save Customer attribute information in Admin Edit customer section;,<https://github.com/magento/magento2/commit/488c1034>,"",Account
ACP2E-2794,"The system now correctly displays product listings without empty spaces when products are set to 'Out of Stock', ensuring a consistent and accurate display of available products. Previously, setting a product to 'Out of Stock' would result in an empty space appearing in the product listing, disrupting the layout and potentially confusing customers.",[Cloud] Critical Issue with Product Listing with Empty Spaces,"<https://github.com/magento/magento2/commit/ea79f7dd>, <https://github.com/magento/inventory/commit/b59e48ca>","",Inventory / MSI
ACP2E-2798,Default shipping address is now being selected event in context of enabled address search.,Default shipping address is not selected on checkout,<https://github.com/magento/magento2/commit/7e0e5582>,"",Cart & Checkout
ACP2E-2799,"Previously when calculating certain percentage discounts rounded up to 2 decimal points will generate different final prices for the cart and product listing page/product details page. After this fix is applied, the final price for the bundle product is the same as in the product details page, product listing page, and mini cart page.",[Cloud] Wrong bundle product price when used with tier prices,<https://github.com/magento/magento2/commit/b2286ecf>,https://github.com/magento/magento2/issues/38091,Catalog
ACP2E-2805,"The quantity_and_stock_status attribute will now be taken into account by the catalog promotion rule, which was not previously taken into account when generating new product from the admin side.",Catalog Promotions Rule not working with quantity_and_stock_status attribute,<https://github.com/magento/inventory/commit/cf34971d>,https://github.com/magento/magento2/issues/35627,Catalog
ACP2E-2809,Product sorting by multiple fields in GraphQl now works as described in the documentation,GraphQL product list sorting by multiple parameters doesn't work,<https://github.com/magento/magento2/commit/c971859e>,"","GraphQL, Search"
ACP2E-2811,"The system now correctly handles custom ""batchCount"" value in the di.xml for the ""Magento\CatalogRule\Model\Indexer\IndexBuilder"", preventing SQL errors such as ""General error: 2006 MySQL server has gone away"" during the reindexing of the Catalog Rule Product Indexer due to the incorrect batch size on large catalogs",[Cloud] Reindexing Catalog Rule Product Indexer throws SQLSTATE[HY000]: General error: 2006 MySQL server has gone away.,<https://github.com/magento/magento2/commit/b2286ecf>,"",Promotion
ACP2E-2836,"Removing a condition on PageBuilder products content settings no longer causes an exception to be recorded in the log files. Previously, removing a condition on PageBuilder products content settings would cause a critical exception to be recorded in the logs, despite not causing any issues on the frontend.",ACP2E-2836: [Cloud] Investigate exception found in the log: InvalidArgumentException: Class does not exist in vendor/magento/module-rule/Model/ConditionFactory.php,<https://github.com/magento/magento2-page-builder/commit/36c0f5df>,"",Content
ACP2E-2837,The product 'last updated at' column from the admin is updated the proper date time while updating the existing products through the REST API. Previously the column 'last updated at' is not updated properly.,Product entity updated_at column values not updating while updating price through REST API,<https://github.com/magento/magento2/commit/39d54c2d>,"",Catalog
ACP2E-2840,"The system now correctly enforces the unique value constraint for unique product attributes during product import, preventing from having duplicate values for that such attribute. Previously, it was possible to set non-unique values for product attributes that were configured to have unique values via product import.",It's possible to set non-unique values via product import,<https://github.com/magento/magento2/commit/7e0e5582>,https://github.com/magento/magento2/issues/38445,Catalog
ACP2E-2841,"The system now correctly fetches transaction information without creating a new payment transaction each time the fetch button is clicked on the view transaction screen. Previously, clicking the fetch button would incorrectly create a new payment transaction for an order that had already been paid.",Payflow creates new transaction each time we click on fetch button on the view transaction screen,<https://github.com/magento/magento2/commit/b2286ecf>,"",Payments
ACP2E-2842,"The system now synchronizes store view design configurations with website design configurations when enabling single store mode, ensuring that content updates are visible on the frontend. Previously, switching to single store mode would prevent content updates from being reflected on the storefront.",Switching to single store mode - global content no longer appears,<https://github.com/magento/magento2/commit/7e0e5582>,"",Content
ACP2E-2843,"Previously, when we enabled single store mode for the default store view, the changes were not migrated to the website-level scope. After this fix is applied, when we enable single store mode, the default store view-specific data will be synced with website-level-specific data and will resolve the possible conflicts for products and categories.",Products on the frontend use store specific data when Single-Store Mode is enabled,<https://github.com/magento/magento2/commit/c8931218>,"",Catalog
ACP2E-2844,Fixed the issue when datetime values in a DB would be converted to  0000-00-00 00:00:00 after Mysql upgrade,Issues after upgrading MariaDB to 10.5.1 or higher,<https://github.com/magento/magento2/commit/a12063bd>,"",Framework
ACP2E-2847,"The file validation error has been updated to ""File validation failed. Please verify the Image Processing Settings in the Store Configuration."" Previously, it was simply ""File validation failed.""",Favicon upload fails to validate .ico files,<https://github.com/magento/magento2/commit/39d54c2d>,"",Admin UI
ACP2E-2850,"The orders placed from non default websites with terms and conditions enabled are now processed.
Before they were automatically rejected.",Order gets rejected on multi-store setup when using Async-order processing + Terms and Conditions,<https://github.com/magento/magento2/commit/57a32313>,"",Performance
ACP2E-2855,"Previously, the save object was called every time without any data changes (for any numeric data field - like int/float/double). It triggers the flag _hasDataChanges to be true and calls the save function. After this fix applies, the save function will call only if the data is changed. The data value for int/float/double-check with the value passing to the function and does strict type matching.",Type Mismatch in Data Comparison when checking if data has changes,<https://github.com/magento/magento2/commit/57a32313>,"",Framework
ACP2E-2857,Update correctly default_sort_by on a category through REST / SOAP APi request,"Cannot set ""Default Sort By"" in a category using the rest API",<https://github.com/magento/magento2/commit/57a32313>,"",Catalog
ACP2E-2860,Avoid displaying on storefront restricted categories and their content while catalog permissions indexing is being performed.,Products/Categories visible during reindexation when using NoDDL and Category Permissions,"","","B2B, Catalog"
ACP2E-2870,"Previously, for custom permanent URL rewrite for non-website root pages, redirect infinitely and the page was never loaded. After this fix is applied, the custom URL rewrite for the non-website root page works as expected and no redirection loop occurs.",CMS Page hierarchy can cause URL rewrite issues,"","","Content, SEO"
ACP2E-2871,"Adding a product to the wishlist in one store no longer increases the wishlist count in other stores open in the same browser. Previously, if both stores were loaded in the same browser, the wishlist count would increase in the other store as well.",[Cloud] The Merchant is facing issues with wishlist count,<https://github.com/magento/magento2/commit/3a7c4d17>,"",Catalog
ACP2E-2873,Unneeded Include Tax line is not shown anymore in Negotiable Quote when catalog total price section is expended.,"[Cloud] Price display in mobile and desktop version not the same in ""My quotes""","","",B2B
ACP2E-2874,Bundle products that are not salable in current store context are not indexed anymore.,Category Page at frontend shows empty slots when using bundle product,<https://github.com/magento/inventory/commit/bc37ec76>,"",Catalog
ACP2E-2888,"The records in the Bundle product sequence tables (sequence_product_bundle_option, sequence_product_bundle_selection) are now removed when Bundle product is deleted or Bundle product options are deleted.
Previously the records in the Bundle product sequence tables were not removed.",[CLARIFICATION] Bundle product sequence table issues,"","",Catalog
