Issue key,Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Custom field (Release Note),Components,is_magento
AC-14519,Magento 2.4.8 uses dev packages that don't follow semantic versioning,https://github.com/magento/magento2/issues/39796,"","Magento 2.4.8 requires dev versions of pdepend/pdepend and phpmd/phpmd (3.x-dev) for PHP 8.4 compatibility.
These dev versions conflict with third-party tools expecting SemVer-compliant packages, preventing some upgrades.
A temporary workaround is to alias the dev versions in composer.json (e.g., ""3.x-dev as 3.99.0""), allowing compatibility while satisfying semantic versioning.
This ensures PHP 8.4 support and avoids conflicts until stable releases become available.",Framework,true
AC-14520,"Symfony\Component\Mime\Exception\LogicException: The ""Sender"" header must be an instance of ""Symfony\Component\Mime\Header\MailboxHeader"" (got ""Symfony\Component\Mime\Header\MailboxListHeader"")",https://github.com/magento/magento2/issues/39823,"https://github.com/magento/magento2/commit/1e14bd72, https://github.com/magento/magento2/commit/1514117f","Adobe Commerce now successfully sends registration emails when a custom return-path address is configured for SMTP. Previously, on vanilla Adobe Commerce 2.4.8 with system/smtp/set_return_path set to 2 and system/smtp/return_path_email set to a custom address, customer registration completed but the registration email was not sent, and Adobe Commerce logged this error: Symfony\Component\Mime\Exception\LogicException: The ""Sender"" header must be an instance of ""Symfony\Component\Mime\Header\MailboxHeader"" (got ""Symfony\Component\Mime\Header\MailboxListHeader"").",Admin UI,true
AC-14542,"Deprecate a ""Product was viewed"" customer segment condition","","","""Product was viewed"" customer segment condition is now deprecated.
Previously, using this condition could cause site outages due to heavy MySQL queries. The condition is now marked as deprecated and not supported.",Account,false
AC-14556,Table prefix is not taken into account,https://github.com/magento/magento2/issues/39847,https://github.com/magento/magento2/commit/1bc2d6d0,"Adobe Commerce now correctly respects database table prefixes when loading the Design > Configuration theme grid in the Admin. Previously, on Adobe Commerce 2.4.8 with a table prefix configured in app/etc/env.php, navigating to Content > Design > Configuration resulted in an error because the table prefix was not taken into account, and the grid of themes did not render.",Content,true
AC-14560,After Downloading shipping label we can see some shipping amount it was not matching with shipping and handling price.,"","","Shipping label amounts now match shipping and handling prices.
Previously, after downloading a shipping label, the amount shown did not match the shipping and handling price.
AC-14560",Framework,false
AC-14561,[Issue] Removed email disclosure,https://github.com/magento/magento2/issues/39574,https://github.com/magento/magento2/pull/39570,"The System now shows Display an error message indicating an incorrect email if the entered email is not required to confirm the account, regardless of whether the customer exists or not.",Account,true
AC-14563,Shipment email not sent when submitted from Admin Order view despite being enabled in store configuration,https://github.com/magento/magento2/issues/39861,https://github.com/magento/magento2/pull/39897,The system now send a shipment confirmation email as it is enabled in the store configuration where the order was placed.,Order,true
AC-14567,MView mechanism silently ignores errors on trigger execution,"",https://github.com/magento/magento2/commit/ae6f305b,"MView mechanism now properly reports errors on trigger execution.
Previously, errors during trigger execution were silently ignored, which could result in missing index updates without any notification.
AC-14567",Framework,true
AC-14580,[Issue] Avoid lots of uncessary exceptions during layout XML merge loading,https://github.com/magento/magento2/issues/39877,https://github.com/magento/magento2/pull/37570,This PR introduce a new function (for B/C compat we don't overwrite the protected _loadXmlString) to load and not throw an exception,Framework,true
AC-14607,Wishlist count not displayed on homepage/other pages except wishlist page in customer menu,https://github.com/magento/magento2/issues/39892,"https://github.com/magento/magento2/commit/a3b1abc2, https://github.com/magento/magento2/commit/b3774fbe","Fixed issue where the wishlist count appeared as empty parentheses on non-wishlist pages.
Now, the correct wishlist item count is displayed next to “My Wish List” across all pages.",Catalog,true
AC-14616,[Issue] Use constructor property promotion in module Vault graph Ql,https://github.com/magento/magento2/issues/39900,https://github.com/magento/magento2/pull/36996,This PR replace constructor properties with property promotion in VaultGraphQl module,Framework,true
AC-14625,[Issue] Removed code redundancy for module frontend layouts.,https://github.com/magento/magento2/issues/30673,https://github.com/magento/magento2/pull/30644,"This PR removes code redundancy to theme layouts for Magento_Msrp, Magento_LoginAsCustomerAssistance, Magento_Newsletter & Magento_Sitemap modules frontend layouts.",Framework,true
AC-14637,Tax amount isn't updated when gift wrapping removed from the cart,"","","Magento now correctly updates cart tax totals when gift wrapping is removed via the setGiftOptionsOnCart GraphQL mutation. Previously, when a gift wrap option had been selected and was then unset by passing ""giftWrappingId"": null in the mutation input, the tax amount in the quote was not updated and Magento continued to include gift wrapping tax in the cart totals, even though no gift wrap was applied.",Tax,false
AC-14680,"[Issue] Include Constructor to be a part of `CommandListInterface` API, extend inline documentation",https://github.com/magento/magento2/issues/31102,https://github.com/magento/magento2/pull/37901,This PR update marks Magento\Framework\Console\CommandList as an API and introduces the constructor to the CommandListInterface for better extensibility. It also improves inline documentation to enhance clarity and maintainability for developers extending console commands.,Framework,true
AC-14682,Unable to clear wishlist item comment via `updateProductsInWishlist` GraphQL mutation,https://github.com/magento/magento2/issues/39911,https://github.com/magento/magento2/commit/36d4d6fb,"Fixed issue where wishlist comments were not updated through GraphQL mutations.
Now, comments update correctly and reflect in both the API response and storefront.",Account,true
AC-14690,Refresh order doesn't get latest custom attribute data,https://github.com/magento/magento2/issues/30301,"","Fixed an issue where refreshing the order page did not display the latest customer custom attribute data; after the fix, updated attribute values are now reflected without needing to cancel and recreate the order.",Admin UI,true
AC-14702,[Issue] Remove code related to Microsoft IIS,https://github.com/magento/magento2/issues/39910,https://github.com/magento/magento2/pull/39894,This PR clean up the code related to Mircrosoft IIS as per Magento System Requirement documentation which states that the Microsoft Windows OS is not supported,Framework,true
AC-14703,Product Removed on Mobile Still Appears in Web's Mini Compare Section Until Re-login,https://github.com/magento/magento2/issues/39905,https://github.com/magento/magento2/pull/40023,"The system now removes product immediately disappear from all compare views on both mobile and web, including the mini compare section.",Account,true
AC-14705,Guest Prefix Not Saved to Quote Address 2.4.8,https://github.com/magento/magento2/issues/39915,https://github.com/magento/magento2/commit/f1adb44e,"Guest customer prefix (Mr/Mrs) is now saved during checkout.
Previously, salutations selected by guest customers were lost before reaching the final order, while all other address fields transferred correctly.
AC-14705",Cart & Checkout,true
AC-14711,Requisition List Page Print Option Is Not Working,"","","The Print option on the Requisition List page now works correctly.
Previously, clicking ""Print"" resulted in the error: ""An error has happened during application run. See exception log for details.""
AC-14711",Product,false
AC-14722,Magnifier.js syntax error,https://github.com/magento/magento2/issues/36200,https://github.com/magento/magento2/pull/39321,The system Magnifier functionality should keep working the way it worked before and magnifierOptions should not be available in global scope,Framework,true
AC-1479,Incorrect qty to ship after few creditmemos,https://github.com/magento/magento2/issues/34289,https://github.com/magento/magento2/commit/913bf1a6,"Fixed issue where the Qty to Ship value was incorrectly calculated after multiple credit memos, allowing shipment of refunded items.
Now, the system accurately updates the remaining shippable quantity based on shipped and refunded items, preventing invalid shipments.",Shipping,true
AC-14791,[Issue] Update Store.php,https://github.com/magento/magento2/issues/39949,https://github.com/magento/magento2/pull/38717,This PR improves performance by skipping current store resolution.,Performance,true
AC-14807,Backport Verbose Mode in `setup:db:status` CLI command,"",https://github.com/magento/magento2/commit/7bdafaa2,"The `setup:db:status` CLI command now supports verbose mode.
Previously, it was difficult to understand database changes required for upgrades. Now, running `bin/magento setup:db:status -v` provides detailed information about schema and data differences.
AC-14807",Framework,true
AC-14835,Exception being thrown when running GraphQl query,"",https://github.com/magento/magento2/commit/a8cf637b,"Fixed an issue where a GraphQL query threw an exception due to an invalid sorting parameter; after the fix, the query executes successfully without generating errors or exception logs.",GraphQL,true
AC-14847,catalog_product_save_before observer throws date-related error when using REST API without store-level values (getFinalPrice() issue),https://github.com/magento/magento2/issues/39959,https://github.com/magento/magento2/pull/40003,This PR adjusts the processing of SpecialFromDate to ensure proper formatting when the date is provided as a DateTimeInterface instance. This prevents errors arising during getFinalPrice() execution under certain scenarios.,Catalog,true
AC-14883,SMTP mail send with tls and 2.4.8,https://github.com/magento/magento2/issues/39947,"https://github.com/magento/magento2/commit/3717e6cb, https://github.com/magento/magento2/commit/8b453942, https://github.com/magento/magento2/commit/d3ea191d","SMTP email sending with TLS now works as expected.
Previously, sending emails via SMTP with TLS resulted in the error: error:1408F10B:SSL routines:ssl3_get_record:wrong version number.
AC-14883",Framework,true
AC-14884,Salesrule Subselect with Quantity condition Fail to apply,https://github.com/magento/magento2/issues/39965,https://github.com/magento/magento2/commit/fe72c407,"Fixed issue where cart price rules with product subselection conditions were not applying at checkout.
Now, discounts are successfully applied as per the configured rules.",Cart & Checkout,true
AC-14885,[Product Compare] Compare List will be unusable,"",https://github.com/magento/magento2/commit/8670a2b4,"Fixed an issue where the compare list became unusable when the same product was added from different store views; after the fix, the compare list loads correctly and displays items based on the specific store.",Product,true
AC-14888,Error getting order item discounts applied_to for customer order via GraphQl customer request,https://github.com/magento/magento2/issues/39963,https://github.com/magento/magento2/commit/fe72c407,Earlier when discounts applied_to for customer order via GraphQl customer request internal server error was observed which is now fixed and proper customer order data with applied discount is fetched,Promotion,true
AC-14889,Error getting order item coupon code for customer order via GraphQl customer request,https://github.com/magento/magento2/issues/39962,https://github.com/magento/magento2/commit/fe72c407,"Fixed issue where fetching orders with coupon details via GraphQL returned an internal server error.
Now, the query executes successfully and returns the correct coupon information in the response.",Promotion,true
AC-14939,[Issue] Remove space in class attribute,https://github.com/magento/magento2/issues/39977,https://github.com/magento/magento2/pull/39970,The System now removes an extra space in the class attribute,Cart & Checkout,true
AC-14944,[Issue] Fix concurrency issue in static content deploy,https://github.com/magento/magento2/issues/39990,https://github.com/magento/magento2/pull/39954,"This PR fixes a bug in which multiple concurrent processes spin up to handle the same theme package, depending on how the themes are defined with their parents.",Framework,true
AC-14945,Incorrect Scope Assigned to Price Attributes at Creation,https://github.com/magento/magento2/issues/39986,https://github.com/magento/magento2/commit/8670a2b4,"Fixed an issue where newly created price attributes were incorrectly assigned the Store View scope regardless of configuration; after the fix, the attribute scope now aligns with the Catalog Price Scope setting (Global or Website) by default.",Pricing,true
AC-14958,URGENT - Cannot add product to bundle when the product to add has customizable options,https://github.com/magento/magento2/issues/39993,"","Fixed issue where products with customizable options could not be added to bundle products.
Previously, such products were excluded from the “Add Products to Option” list in bundle creation.
Now, products with customizable options can be added to bundles without including their custom options, allowing proper stock management.
This enables bundle creation without duplicating products or affecting inventory levels.",Catalog,true
AC-14971,[Issue] Remove legacy compatibility code for PHP versions < 8.1,https://github.com/magento/magento2/issues/39891,https://github.com/magento/magento2/pull/39882,"This pull request removes code that was designed to be ran on PHP <8.1.
Also, removed checks for PHP_VERSION_ID contact availability, since it's available in all PHP versions",Framework,true
AC-14987,company field validation fails for guest checkout,https://github.com/magento/magento2/issues/40011,https://github.com/magento/magento2/commit/f1adb44e,"Guest checkout now correctly validates the company field.
Previously, when the company attribute was required, guest checkout failed with the error: ""Company is a required value,"" even when the field was filled.
AC-14987",B2B,true
AC-14991,"DynamicStorage.findProductRewriteByRequestPath() lacks entity_type filtering, causing CMS pages to be treated as products in category URLs",https://github.com/magento/magento2/issues/39996,https://github.com/magento/magento2/commit/64823f95,"Fixed an issue where DynamicStorage did not filter by entity_type, causing CMS pages to be incorrectly treated as products in category URLs; malformed URLs now correctly return a 404 instead of serving CMS content.",SEO,true
AC-14999,FPC not work when login,https://github.com/magento/magento2/issues/40007,"","Full Page Cache (FPC) now works correctly for logged-in customers.
Previously, after logging in, the homepage would not load from cache and the x-magento-cache-debug header showed MISS instead of HIT.
AC-14999",Framework,true
AC-15010,Order State is disappeared while selecting value in Order state dropdown,"","","Order State assignment now works as expected.
Previously, when assigning custom order statuses, the ""Processing"" state could disappear from the dropdown after unassigning a status, making it impossible to reassign.
AC-15010",Sales,false
AC-15013,"Add generic types in certain php classes, for improved static analysis support",https://github.com/magento/magento2/issues/40017,https://github.com/magento/magento2/pull/40119,The system now use generic type definition to improve this significantly by having it interpreted as the exact class a method call returns,Framework,true
AC-15020,[Issue] improve error handling SchemaBuilder,https://github.com/magento/magento2/issues/39816,https://github.com/magento/magento2/pull/39799,This PR improves the error message handling of db schema. It helps us to identify issue without heavy debugging.,Framework,true
AC-15037,Filtering on date does not work because of ambigous field names,https://github.com/magento/magento2/issues/40024,"","In Magento 2.4.7-p6, filtering the order grid by date was reported to cause an error due to joins with Braintree modules.
The issue involved queries joining braintree_transaction_details and sales_order tables when applying date filters.
Adobe Commerce Engineering reviewed the case but was unable to reproduce the error in the environment.
Expected behavior is that filtering by date should return orders matching the filter without errors.",Order,true
AC-15046,Rest API: Call to a member function getVideoProvider() on null,https://github.com/magento/magento2/issues/40021,"","Fixed issue where calling the configurable product children API returned a 500 Internal Server Error if a child product had only a YouTube video and no other images.
The error was caused by a null reference in the ExternalVideoEntryConverter.
Now, the API correctly returns child products with media gallery entries, including external video data, without throwing errors.
This ensures proper retrieval of all media types for child products via REST API.",Framework,true
AC-15054,Product Add to Cart issue in Rest API,https://github.com/magento/magento2/issues/40029,https://github.com/magento/magento2/commit/f5cc09fc,"Fixed issue where products not assigned to a specific website could still be added to cart and purchased.
Now, an error message is shown: “Product that you are trying to add is not available.”",APIs,true
AC-15061,[W3C] Remove text/javascript from cookie script tag declaration,https://github.com/magento/magento2/issues/39982,https://github.com/magento/magento2/pull/39983,"This PR removed the unnecessary type=""text/javascript"" attribute from the cookie script tag for HTML5 compliance.",Framework,true
AC-15074,Show prefix/suffix setting ignored when set to No,https://github.com/magento/magento2/issues/40036,https://github.com/magento/magento2/commit/a3b1abc2,"Fixed issue where customer name prefix/suffix continued to display in orders even when disabled in configuration.
Now, prefix/suffix values are stripped from order details based on the config setting.",Account,true
AC-15075,[Issue] Fix a few typos in PHPDoc comments,https://github.com/magento/magento2/issues/40042,https://github.com/magento/magento2/pull/38809,This PR fixes the few typos in the phpdoc,Framework,true
AC-15082,[Issue] Accessibility: WAI-ARIA roles nesting wrong in menu,https://github.com/magento/magento2/issues/40045,https://github.com/magento/magento2/pull/38617,The system now generates lighthouse accessibility without WAI-ARIA roles nesting wrong in menu error and report should be green,Other Developer Tools,true
AC-15110,Enabling category path in product urls breaks store switcher in multiple ways,https://github.com/magento/magento2/issues/40037,https://github.com/magento/magento2/commit/a7ef6300,Fixed an issue where enabling category paths in product URLs caused the store switcher to fail; store switching now correctly resolves product URLs across store views without redirecting to the homepage or returning errors.,SEO,true
AC-15132,[Issue] replace deprecated escaper,https://github.com/magento/magento2/issues/40062,https://github.com/magento/magento2/pull/38135,Removed the deprecated getEscaper() and added it via constructor injection.,Admin UI,true
AC-15140,"When Gift message enabled on Order level but user does not enter any data and place order, then still From Name and To Name in Admin showing customer first and last name.","",https://github.com/magento/magento2/commit/a8cf637b,Fixed an issue where gift message sender and recipient fields were automatically populated with customer names even when no gift message was entered; the fields now remain empty unless the user provides the details.,Sales,true
AC-15148,Graphql - Merge cart not working correctly when Backorder is enabled,https://github.com/magento/magento2/issues/40064,https://github.com/magento/magento2/commit/a3b1abc2,"Fixed issue where guest cart items were not merged with customer cart during cart merge via GraphQL.
Now, customer cart correctly reflects the combined quantity from both guest and customer carts.",Cart & Checkout,true
AC-15166,Welcome message overlapping product category in mobile view,"",https://github.com/magento/magento2/commit/1b1baf1d,"Fixed UI issue where the welcome name overlapped with product categories in mobile view, blocking clicks.
Now, categories are fully visible and clickable without overlap issues.",Admin UI,true
AC-15171,[Issue] Update use cache control immutable for static site,https://github.com/magento/magento2/issues/39486,https://github.com/magento/magento2/pull/39484,This PR adds performance improvement by not validating the static content on each page load until & unless its changed.,Performance,true
AC-15177,Storefront customer account register: email address format getting converted with different domain format,"",https://github.com/magento/magento2/commit/68a45d0a,"This bug addressed an issue where customer emails with special characters in the domain (e.g., tec55241@adòbe.com) were being auto-converted into punycode format (tec55241@xn--adbe-mqa.com).
In Magento 2.4.9-alpha3, the fix ensures that such email IDs remain unchanged and valid, preventing delivery errors.",Account,true
AC-15183,[Issue] Remove sprintf usage in phrase calls,https://github.com/magento/magento2/issues/40050,https://github.com/magento/magento2/pull/40033,This PR removes the usage of sprintf in the phrase function call in the Magento core.,Framework,true
AC-15185,Missing validation messages (mage-error) on register form,https://github.com/magento/magento2/issues/40076,https://github.com/magento/magento2/commit/36d4d6fb,"Fixed issue where required fields on the customer account creation page showed no validation messages when left empty.
Now, proper error messages are displayed for all empty or incorrect fields.",Account,true
AC-15191,Negative `?p=` query string causes ElasticSearch exception,https://github.com/magento/magento2/issues/40079,https://github.com/magento/magento2/pull/40080,"The System now addresses the negative ?p= value in the Category pagination, that currently results in exception and is considered a valid request",Catalog,true
AC-15199,Extra Logging When Requesting A Product Via Repository Fails,https://github.com/magento/magento2/issues/40090,https://github.com/magento/magento2/commit/1b1baf1d,"Improved error messages for ProductRepository::get and getById when a SKU or ID is not found.
Previously, exceptions provided no context about which SKU or ID caused the error.
Now, the exception message includes the missing SKU or ID, aiding in debugging and improving developer experience.
This change does not affect any functional behavior of the API.",Product,true
AC-15204,Ui Form Reset button not working as expected,https://github.com/magento/magento2/issues/40092,https://github.com/magento/magento2/pull/40094,The system is now working fine when clicking on reset button without reloading entire page the form data will be reset.,Admin UI,true
AC-15208,Attribute Option Label Gets Overwritten When Updating Store Labels,https://github.com/magento/magento2/issues/40093,https://github.com/magento/magento2/commit/36d4d6fb,"Fixed issue where updating a multiselect product attribute via REST API would overwrite all store_labels, removing existing store-specific labels.
Now, when updating the default store view label, Magento merges the provided labels with existing ones instead of fully overwriting them.
This ensures that store-specific labels for other store views remain intact after updates.",APIs,true
AC-15237,'As low as' price label is shown for configurable products with single option,https://github.com/magento/magento2/issues/40104,https://github.com/magento/magento2/commit/a3b1abc2,"Fixed issue where configurable products displayed the price with an incorrect “As low as” label on PDP/PLP.
Now, the product shows the correct price ($500) without any misleading labels.",Catalog,true
AC-15252,Product is being saved even when Special Price From Date is later than To Date using mass action,https://github.com/magento/magento2/issues/40113,https://github.com/magento/magento2/commit/36d4d6fb,"Fixed issue where products could be saved with an invalid special price date range without validation.
Now, an error message is shown: “Make sure the To date is later than or the same as the From date.”",Pricing,true
AC-15260,Order Cancellation Modal Title Missing Translation,https://github.com/magento/magento2/issues/40098,https://github.com/magento/magento2/pull/40100,"The system now Fixes a missing translation in the order cancellation modal on the storefront. When a customer clicks the “Cancel” button from the My Account > My Orders page, a modal appears asking for a cancellation reason. However, the modal title was previously hardcoded and not translatable. This change ensures the modal title uses a proper translation method.",Account,true
AC-15270,Cannot reindex all invalid on multi-thread indexers with active application lock,https://github.com/magento/magento2/issues/40102,https://github.com/magento/magento2/commit/68a45d0a,"This issue fixed a multi-thread indexer failure when use_application_lock was enabled.
Earlier, DB locks were lost during parallel processing, causing indexers to remain in ""working"" state and throw SQL errors (table not found).
In Magento 2.4.9-alpha3, the fix ensures indexers reindex correctly with application lock enabled.",Framework,true
AC-15272,Unclear/invalid return types in Magento\Framework\Escaper,https://github.com/magento/magento2/issues/40012,https://github.com/magento/magento2/pull/40114,The system will accept types for escaper methods When performing static analysis using phpstan on level 5,Framework,true
AC-15280,Shipping details mismatch after completing paypal express checkout for a negotiable quote.,"","","This issue fixed a shipping cost mismatch when completing a PayPal Express Checkout for an approved negotiable quote.
Before the fix, shipping was incorrectly doubled (showing $10 instead of $5) leading to inflated totals.
The fix in Magento 2.4.9-alpha3 ensures the correct shipping cost is applied",Pricing,false
AC-15284,[Issue] Allow queue-specific configuration to exceed the default max-messages value,https://github.com/magento/magento2/issues/40121,https://github.com/magento/magento2/pull/40110,The system now Allow queue-specific configuration to exceed the default max-messages value,Framework,true
AC-15286,"Order creation in backoffice with multiple products of which at least one contains custom options, leads to unwanted extra products to get added to the order",https://github.com/magento/magento2/issues/40122,https://github.com/magento/magento2/commit/b5e99d20,"Fixed an issue where creating an order in the backoffice with multiple products, including one with custom options, unintentionally added extra products and caused errors. The system now adds only the selected products, allowing orders to be created without any unexpected items.",Order,true
AC-15292,Issue after login in magento 2.4.8-p1,https://github.com/magento/magento2/issues/40120,"","Fixed issue on Magento 2.4.8-p1 where the “Create an Account” link was still visible on the homepage after login.
Now, the link is correctly hidden after login, consistent with other pages.",Account,true
AC-15304,Price of product in cart affected by catalog price rule doesn't change when rule is adjusted by the staging update,"",https://github.com/magento/magento2/commit/913bf1a6,"Fixed an issue where product prices in the cart were not fully updated after modifying a catalog price rule through a staging update. Previously, the updated price appeared only in the summary section while the central cart block showed the old value. Now, the revised rule correctly updates the product price across the entire cart.",Staging & Preview,true
AC-15323,Wrong method called for Add To Compare button,https://github.com/magento/magento2/issues/39754,https://github.com/magento/magento2/commit/a3b1abc2,"Corrected the method used in \Magento\Catalog\Ui\DataProvider\Product\Listing\Collector\Url::collect().
Previously, getAddToCartButton() was incorrectly called instead of getAddToCompareButton().
This change ensures the correct behavior for rendering the “Add to Compare” button in product listings.
No functional behavior changes are introduced; the update improves developer experience and code correctness.",Catalog,true
AC-15325,[Issue] Duplicate cache fpc for same page with same query when use varnish,https://github.com/magento/magento2/issues/39706,https://github.com/magento/magento2/pull/39704,"This PR fixes duplicate full-page cache entries when using Varnish by normalizing query parameter order, ensuring consistent cache keys for identical requests.
Improves cache hit ratio and performance for URLs with the same parameters in different sequences.",Framework,true
AC-15336,Ajax 401 error load on Warning screen in admin panel while Login as Customer permission revoked,"",https://github.com/magento/magento2/commit/68a45d0a,"This bug fixed an issue where a revoked Login as Customer permission caused an Ajax 401 error with raw HTML to appear in the warning popup.
After the fix, the system now correctly displays a normal warning message instead of raw HTML.
The solution was delivered in Magento 2.4.9-alpha3",Customer/ Customers,true
AC-15338,"Change constant IMAGE_FILE_NAME_PATTERN to public visible, for more flexibility",https://github.com/magento/magento2/issues/39733,https://github.com/magento/magento2/commit/68a45d0a,The constant IMAGE_FILE_NAME_PATTERN in GenerateRenditions.php was made public to allow developers more flexibility when working with image renditions. The fix is included in Magento 2.4.9-alpha3 with full unit and integration test coverage.,Content,true
AC-15345,Undefined array key in ProductRepository getById,https://github.com/magento/magento2/issues/40146,https://github.com/magento/magento2/commit/68a45d0a,"The issue occurred when ProductRepository::getById() was called with an invalid ID like 123abc, leading to an ""Undefined array key"" error.
After the fix in Magento 2.4.9-alpha3, such requests now correctly return a 404 page instead of throwing an exception.
QA confirmed with both valid and malformed IDs, and no further issues were observed.",SEO,true
AC-15347,Community themes contain resources for Commerce edition modules,https://github.com/magento/magento2/issues/21446,https://github.com/magento/magento2/commit/9bcd880a,"Removed Commerce-only styling resources from Community themes by relocating them to their respective module directories. This prevents unused CSS from being bundled in Community Edition, reducing unnecessary payload and eliminating dead style rules while ensuring proper styling when Commerce modules are enabled.",Framework,true
AC-15358,Magento2: Not able to create promotion rule,https://github.com/magento/magento2/issues/12176,https://github.com/magento/magento2/pull/30479,"This PR  fixes, we get 
\Magento\Catalog\Model\ResourceModel\Eav\Attribute model instead of \Magento\Catalog\Model\ResourceModel\Eav\Attribute in the method \Magento\SalesRule\Model\Rule\Condition\Product::loadAttributeOptions",Order,true
AC-15363,[Integration] [Checkout] Depend directives updated in failed payment email template,"",https://github.com/magento/magento2/commit/36d4d6fb,"Failed payment email template updated to handle depend directives correctly.
Fix ensures shipping address and shipping method display properly when applicable.
Previously, these fields were missing in failed payment emails.",Cart & Checkout,true
AC-15365,[Issue] Add Store Code to Urls should be Global,https://github.com/magento/magento2/issues/40069,https://github.com/magento/magento2/pull/40065,"This PR addresses the issue by ensuring that the ""Add Store Code to Urls"" setting is retrieved using the global scope in core code",Framework,true
AC-15385,Wrong product price is displayed on the shopping cart with different currencies in different store views,"",https://github.com/magento/magento2/commit/a8cf637b,"Fixed an issue where incorrect product pricing was displayed in the shopping cart when using different currencies across store views. After the fix, the cart now shows the correct converted price based on the configured currency, ensuring consistency between the product page and cart.",Catalog,true
AC-15386,[Issue] Log undeclared plugin only if it is not disabled,https://github.com/magento/magento2/issues/40086,https://github.com/magento/magento2/pull/40081,This PR fixes and log the plugin who are actually undeclared and not used (enabled and missing instance).,Framework,true
AC-15401,Magento changed the entity type of $order after calls $invoice = $this->_invoiceService->prepareInvoice($order);,https://github.com/magento/magento2/issues/40154,"","Fixed an issue where editing an existing scheduled update for a subcategory incorrectly increased the children_count for parent categories in the database. The problem caused inaccurate category hierarchy data after saving updates. After the fix, the children count remains correct and no longer increments unexpectedly.",Order,true
AC-15414,"[Issue] Small cleanup, removed duplicated keys from array",https://github.com/magento/magento2/issues/39851,https://github.com/magento/magento2/pull/39844,The system now did small cleanup and  No error found related to Array has 2 duplicate keys with value 'Weight (and above)',Framework,true
AC-15415,Potential performance issue on loading shipping methods,https://github.com/magento/magento2/issues/40153,https://github.com/magento/magento2/commit/cc0ec250,"Optimized the shipping methods loading process by ensuring only active carriers are loaded when requested. Previously, factories for all shipping methods were initialized, causing unnecessary performance overhead. The fix improves efficiency by conditionally loading only active shipping carriers, reducing load time and resource usage.",Shipping,true
AC-15419,"Order remains in status 'processing' after shipping, if items get partially refunded","",https://github.com/magento/magento2/commit/cc0ec250,"Fixed an issue where orders remained in Processing status after partially refunding items and shipping the rest. The order status now correctly updates to Complete once the total shipped and refunded quantities match the invoiced quantity, ensuring accurate order lifecycle management.",Order,true
AC-15446,"Magento 2.4.8-p2, magento/framework version 103.0.8-p2: EmailMessage class calling a non-existent method",https://github.com/magento/magento2/issues/40170,"https://github.com/magento/magento2/commit/059fd469, https://github.com/magento/magento2/commit/e9412b24","The EmailMessage class now correctly handles email body retrieval.
Previously, in Magento 2.4.8-p2 with magento/framework version 103.0.8-p2, the Magento\Framework\Mail\EmailMessage class attempted to call a non-existent method (getTextBody) on the Symfony mail message object. This caused errors when third-party modules or customizations relied on this method for email processing.
Now, the EmailMessage class no longer calls undefined methods, preventing these errors. AC-15446",Framework,true
AC-15473,[Issue] Clarified Attribute Option already exists response,https://github.com/magento/magento2/issues/39943,https://github.com/magento/magento2/pull/39941,"The System now Replaced the awkward phrase ""Get new file name if the same is already exists"" with a clearer and grammatically correct version: ""Get a new file name if one already exists."" This improves readability and user understanding.
Same for the attribute option response.",APIs,true
AC-15547,Storefront compare product creates Google SEO error - Links are not crawlable,https://github.com/magento/magento2/issues/40185,https://github.com/magento/magento2/commit/c95ed7d7,"Resolved an SEO issue where the storefront “Compare Products” link was not crawlable by search engines due to a missing or improperly bound href attribute. The update ensures the link now contains a valid, crawlable URL, improving site discoverability and helping pass Google SEO audits.",SEO,true
AC-15559,[Magento 2.3.x] Data/Schema Patches getAliases() causes errors during `setup:upgrade`,https://github.com/magento/magento2/issues/31396,https://github.com/magento/magento2/pull/38239,"getAliases() causes errors during setup:upgrade, this PR fixing the same",Framework,true
AC-15614,Illegal mix of collations for operation,https://github.com/magento/magento2/issues/40138,https://github.com/magento/magento2/commit/44329e9d,"",Framework,true
AC-15626,[Issue] [PHPDOC] Fix bad phpdoc Magento\Framework\DB\Adapter\AdapterInterface::quoteColumnAs(),https://github.com/magento/magento2/issues/39598,https://github.com/magento/magento2/pull/39581,This PR updates the PHPDoc for \Magento\Framework\DB\Adapter\AdapterInterface::quoteColumnAs() to correctly reflect that the $alias parameter can be null in addition to string. This resolves PHPStan issues at level 5+ and improves code quality tooling compatibility.,Framework,true
AC-15647,Illegal mix of collations in urlrewrite module,https://github.com/magento/magento2/issues/40189,https://github.com/magento/magento2/commit/44329e9d,"",Framework,true
AC-15662,Restricted admin can't assign company to shared catalog,"","",Fixed an issue where restricted admin users encountered an exception when assigning a company to a shared catalog; the update ensures the assignment works correctly without errors.,B2B,false
AC-15664,Incorrect Shipping Method is displayed in review order page for multi shipping,"",https://github.com/magento/magento2/commit/3cf1a106,Fixed an issue in multi-shipping checkout where the review order page displayed an incorrect shipping cost (5 INR instead of 10 INR); the update ensures the correct shipping amount is shown for each address.,Content,true
AC-15667,Condition is never met in `\Magento\Framework\Escaper::escapeScriptIdentifiers`,https://github.com/magento/magento2/issues/40195,https://github.com/magento/magento2/commit/cc0ec250,"Corrected an unreachable condition in \Magento\Framework\Escaper::escapeScriptIdentifiers by replacing the check for false with null, aligning it with preg_replace return values and improving code accuracy without impacting functionality.",Framework,true
