Issue key,Summary,Custom field (Release Note),Custom field (Git Pull Request),Custom field (External Issue URL),Components,is_magento
ACP2E-4057,The product import process encounters an error if a multi-select attribute is configured as required,"Resolved an issue where product imports failed if a required attribute of type multi-select was included. The data validation now correctly passes, allowing the product import process to complete successfully.",https://github.com/magento/magento2/commit/a1c57b2e,"",Import / export,true
ACP2E-4058,Not minified JS sometimes loads ignoring 'enable js minifications',"Prior to the fix, even if you had minification enabled some of the JS files were requested without the ""min"" prefix resulting in 404 status code. After the fix, when minification is enabled there are no non-minified JS resources requested.",https://github.com/magento/magento2/commit/6dd3fa99,"",Framework,true
ACP2E-4059,[Cloud] cache_invalidate over 10K logs,"Previously, cache was cleared on each PLP or Cart visit, causing unnecessary performance overhead. Target rule cache is no longer invalidated on these pages, improving browsing efficiency.","","",Performance,true
ACP2E-4060,Date Attribute in custom Attribute Group Fails to Show Datepicker in Admin,Fixed issue where the calendar popup for date attributes appeared off-screen when assigned to custom attribute groups.,https://github.com/magento/magento2/commit/6dd3fa99,"",Framework,true
ACP2E-4061,Issue with Updated Orders with Configurable Options Using REST API,Preserve existing product options on sales order items when updating an order through rest api endpoints.,https://github.com/magento/magento2/commit/6dd3fa99,"",Order,true
ACP2E-4064,PayflowPro saved card token failed on payment,"PayPal PayFlow Pro transaction IDs (PNREFs) are now valid for use in Reference Transactions for a fixed period of 12 months. Once expired, the saved card will no longer be displayed and must be added again. Previously, the validity was determined by the expiration date of the payment card used in the original transaction.",https://github.com/magento/magento2/commit/52f46328,"",Payments,true
ACP2E-4081,Simple Products unassigned When Configurable Product Edited by Limited Role,"Previous to this fix, if a restricted admin user would save a configurable product that contain simple products that the admin user didn't have access to, were removed from the configurable product on save. After the fix the configurable product is preserved as saved from a full right admin.","","",Product,true
ACP2E-4086,REST API endpoint export-stock-salable-qty returns incorrect items total_count,"Fixed pagination issue in inventory export stock salable quantity API where total_count was incorrectly limited to page size. Previously, when using the /rest/all/V1/inventory/export-stock-salable-qty/website/base endpoint with pagination parameters like page_size=5, the total_count field in the response would return 5 instead of the actual total number of products matching the search criteria. After this fix, the total_count field now correctly reflects the total number of products available regardless of the page_size parameter, ensuring consistent pagination behavior across all Magento REST API endpoints.",https://github.com/magento/inventory/commit/5632fb5e,"",APIs,true
ACP2E-4090,[CLOUD] Customer Order filter not working for Dates,"After the fix, retrieving orders through GraphQL using a date range filter returns the correct result.",https://github.com/magento/magento2/commit/a1c57b2e,"",GraphQL,true
ACP2E-4095,Content staging preview does not work with search results,"Search in Staging Preview now returns products in accordance with the selected scope. Previously, the search returned results in the default scope, disregarding the selected store.","","",Content,true
ACP2E-4096,Page Builder - Product Condition Logic Issue (OR logic behaves incorrectly showing less products),"Page Builder Products Widget now returns correct result when an attribute with global scope is used in ""Match Any"" condition",https://github.com/magento/magento2/commit/e457c5e2,"",Content,true
ACP2E-4100,"Regular price is not visible, even though a special price is applied.",Resolved an issue where the regular price was not displayed when a special price was applied. The regular price now correctly appears alongside the special price as expected.,https://github.com/magento/magento2/commit/47721be6,"",Pricing,true
ACP2E-4102,Duplicated stock status queries on quote load,"Fixed duplicate execution of cataloginventory_stock_status query when loading a quote on the storefront, causing redundant DB calls.",https://github.com/magento/inventory/commit/fc15a9ae,"",Inventory / MSI,true
ACP2E-4112,[Cloud] Store Switcher Not Working from EN to FR for FAQ Page,"Fixed an issue where switching between store views redirected users to the homepage instead of the corresponding translated CMS page. The store switcher now checks for URL rewrites in the target store to ensure correct redirection (e.g., FAQ page in English → FAQ page in French).","","",SEO,true
ACP2E-4115,Address issues raised in ACP2E-4031,"Prior to the fix the error node position did not provide seamless compatibility with 2.4.7 and 2.4.9 versions. Now, after the fix, the error node is properly placed to accomodate both versions.",https://github.com/magento/magento2/commit/e457c5e2,"",GraphQL,true
ACP2E-4116,[CLOUD] Products with No Backorders selected on manage stock still allowing customers to order over our stock levels when imported,"After the fix, it is no longer possible to import an unacceptable value for the ""allow_backorders"" attribute of the product.",https://github.com/magento/magento2/commit/a1c57b2e,"",Import / export,true
ACP2E-4117,Duplicate order found for same customer in Multishipping,Concurrent requests to place order with multiple shipping addresses no longer result in duplicated orders for same customer,https://github.com/magento/magento2/commit/a1c57b2e,"",Cart & Checkout,true
ACP2E-4119,"Product import failing due to Description length exceeding 65,536 characters Validation","After the fix, it's possible to import product attributes with type text whose values exceed 65,536 characters.",https://github.com/magento/magento2/commit/a1c57b2e,"",Import / export,true
ACP2E-4128,[CLOUD] Getting 404 for JS file on checkout page on first attempt after implementing sri patch,"Previous to the fix mixins would not have loaded in cart and checkout when minify and bundling enabled. After the fix, all mixins should load as expected.",https://github.com/magento/magento2/commit/e457c5e2,"","Cart & Checkout, Security",true
ACP2E-4136,Products displays as out of stock after disabling,"After the fix, disabled products are not present in the products widget.",https://github.com/magento/magento2/commit/a1c57b2e,"",Catalog,true
ACP2E-4138,Attacker could use POST request using REST API and can send RCE payload,"REST APIs V1/guest-carts/<cartId>/items/ and V1/carts/mine/items/ now validates ""product_options.extension_attributes.custom_options.*.option_id"" to be valid option_id in the cart item SKU. Previously, such option was processed and saved in the database without any validation.",https://github.com/magento/magento2/commit/a1c57b2e,"",APIs,true
ACP2E-4142,Post-Patch ACP2E-4118: Stock Threshold Change in Admin Causes Negative Salable Quantities and Stock Status Mismatch,"Inventory stock status is now automatically adjusted when global inventory configurations Quantity, Backorders and Out-of-Stock Threshold are updated via import.","https://github.com/magento/magento2/commit/a1c57b2e, https://github.com/magento/inventory/commit/5632fb5e","",Inventory / MSI,true
ACP2E-4153,[Cloud] Sitemap generation performance is significantly degraded,"Sitemap generation for products with images no longer experiences exponential slowdown. Previously, generating sitemaps for stores with image inclusion enabled would result in long processing times.",https://github.com/magento/magento2/commit/e457c5e2,"",Product,true
ACP2E-4159,[Cloud] Errors with duplicate entries (temp_category_descendants_%),Fixed issue with duplicate entries during creation scheduled updates for enviroments with high number of nested categories,https://github.com/magento/magento2/commit/a1c57b2e,"",Catalog,true
ACP2E-4168,Bundle parent showing Out of stock even the child has instock in Graphql call,"After the fix, requesting a product list using GraphQL returns the correct stock status for bundle products.","https://github.com/magento/magento2/commit/a1c57b2e, https://github.com/magento/inventory/commit/5632fb5e","",GraphQL,true
ACP2E-4184,GraphQL mergeCart mutation discrepancies,"After the fix, the merge carts GraphQL request properly checks the product quantity, taking into account the stock configuration.",https://github.com/magento/inventory/commit/5632fb5e,"","GraphQL, Inventory / MSI",true
