Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components
ACP2E-3300,Captcha on admin login does not require interaction for some users,"",ReCaptcha for admin login is validated as expected,"",Security
ACP2E-3302,[Cloud] Incorrect Calculations in Coupon Usage Report,"","The sales total in the coupon report grid is now accurately calculated by incorporating both the ""Discount Tax Compensation Amount"" and the ""Shipping Discount Tax Compensation Amount."" Previously, these amounts were missing from the calculation, leading to discrepancies between the sales total and the sales order data.",<https://github.com/magento/magento2/commit/d75cff27>,Analytics / Reporting
ACP2E-3311,[Cloud] Cannot create order in admin on one store if only the Default Billing Address was not set up,"","Now relevant error message ""A customer with the same email address already exists in an associated website."" is displayed if a customer doesn't have a Default Billing Address and tries to create an order on another store.",<https://github.com/magento/magento2/commit/d75cff27>,Order
ACP2E-3312,Tier Prices return wrong value in products GraphQL (compared to Storefront),"","After the fix, product's tier prices returned for graphql requests have price per one item.",<https://github.com/magento/magento2/commit/1366ae5e>,"Catalog, GraphQL"
ACP2E-3324,Possibility to overwrite config value even if it's locked,"","Previously to this fix, the design configuration could not be set through bin/magento config:set command and locked values could be changed by manipulation of the form displaying them. After the fix locked values set from cli with --lock-env or --lock-conf cannot be updated anymore.",<https://github.com/magento/magento2/commit/55615e61>,"Framework, UI Framework"
ACP2E-3326,An error occurs in CSM page when CMS blocks are inserted using page builder in certain order,"","Previously on some versions of PHP and OS (Linux), the rendering of blocks that referenced other cms blocks through PageBuilder would have failed with an ""An unknown error occurred. Please try again."". Now the content of the cms blocks is rendered correctly inside a PageBuilder controlled content.",<https://github.com/magento/magento2-page-builder/commit/ae2cdeb0>,Content
ACP2E-3329,"After logging in, the products added to the compare list as a guest user are not visible.","","Products that were added to product compare list before logging in as a customer now are preserved after logging in.
Previously, after logging in, the products added to the compare list as a guest user were not visible.",<https://github.com/magento/magento2/commit/078c387e>,Account
ACP2E-3330,[CLOUD] Restricted admin users can see the return menu and buttons,"","Restricted Admin users now don't have access to RMA related controls (menu and buttons).
Previously restricted admin users could see the return menu and buttons.","",Returns
ACP2E-3331,Performance issue on Cart price rule - Advance Sales Rule module,"",Added missing DB indexes for AdvancedSalesRule filters,"",Promotion
ACP2E-3332,"Issue sales rules with Fixed amount discount and ""Maximum Qty Discount is Applied To""","","Fixed issue with cart rules discount, when fixed amount discount is configured to be applied for a limited qty of products is the cart. Previously, the ""Maximum Qty Discount is Applied To"" value was used to calculate current item's price in the cart, not only for calculation the rule's discount.",<https://github.com/magento/magento2/commit/581b7ef1>,Promotion
ACP2E-3335,Unable to ship the order when MSI pick up store is enabled,"",Improved inventory performance of create shipping in case of many sources with in-store pickup,<https://github.com/magento/inventory/commit/9f3e63d1>,Inventory / MSI
ACP2E-3336,[Cloud] Stock alert email translation to the wrong language,"","When sending Stock/Price Alerts for a website with multiple store views using different languages, the language for the store view where the alert was created will be used on the email.","<https://github.com/magento/magento2/commit/a4cf5e62>, <https://github.com/magento/inventory/commit/9f3e63d1>",Catalog
ACP2E-3339,"Issues with shared ""<project_id>/var/tmp""","","Analytics DataExport temporary files will use the sys tmp directory, which is more suitable for frequent access and changes. To avoid collisions in case multiple instances are running on the same server, the tmp path was updated to use an instance's unique id",<https://github.com/magento/magento2/commit/a4cf5e62>,Analytics / Reporting
ACP2E-3340,FedEx Track API not working with REST credentials,"",Previously FedEx integration didn't require additional API keys for Tracking API. Now new configuration was added to support Tracking API keys.,<https://github.com/magento/magento2/commit/ec7e32a9>,Shipping
ACP2E-3342,[CLOUD] Magento upgrade caused coupons to become case-sensitive,"","Before the fix you were required to type in the coupon code exactly as it was configured taking into consideration uppercase or lowercase. Now, the coupon will be validated in the backend regardless of uppercase or lowercase code configuration.","",Promotion
ACP2E-3343,Critical 500 Error: Magento\Framework\Webapi\Exception Related to Accept HTTP Header,"","After the fix, there is no issue with specifying the ""Accept"" header.",<https://github.com/magento/magento2/commit/1366ae5e>,"APIs, Cart & Checkout"
ACP2E-3345,Type Error occurred when creating object: Magento\CatalogSearch\Model\Indexer\Fulltext\Interceptor Exception,"","After the fix, an instance of Magento\CatalogSearch\Model\Indexer\Fulltext class can be created without specifying $data.",<https://github.com/magento/magento2/commit/1366ae5e>,"Catalog, Search"
ACP2E-3348,no graphQl available for subscribing Reward Points updates for customer,"","Previously to the fix, customer attribute reward_warning_notification could not be updated through GraphQL mutation and Rest API call. Now can be updated the same as customer attribute reward_update_notification.","","APIs, GraphQL"
ACP2E-3349,"Cart rules ""Fixed amount discount for whole cart""  Action applies discounts incorrectly","","Coupon codes will be validated properly regardless of upper case or lowercase, when used in order creation from the admin area. Before, the coupon code was not validated if it did not match the exact letter case of the configured cart rule code.",<https://github.com/magento/magento2/commit/581b7ef1>,Promotion
ACP2E-3350,Disabled Categories are no longer have their names grayed out in the category tree,"","Previously, disabled categories were not grayed out in the category tree. Now, they are displayed with a gray-out effect.",<https://github.com/magento/magento2/commit/d75cff27>,Catalog
ACP2E-3354,[Cloud] FedEx Negotiated Rates not returned on REST,"","Previous to the fix,FedEx account specific rates where not sent on the response, even through according to FedEx documentation they should have been sent. After the fix, the account specific rates are sent on the response by changing the request from our side.",<https://github.com/magento/magento2/commit/55615e61>,Shipping
ACP2E-3355,Cron reindex fails to update product availability on the frontend,"","Previously, Products remained out of stock on the frontend after updating the backorder status through the REST API. Now, after updating the backorder status via the REST API, products are shown as in stock.",<https://github.com/magento/inventory/commit/e6fe0aa7>,Inventory / MSI
ACP2E-3357,Adding images to configurable not working when MSI is enabled.,"",Image upload for configurable product will now work as expected when inventory module is used. Previously the image upload didn't work,<https://github.com/magento/inventory/commit/fdf409aa>,Inventory / MSI
ACP2E-3361,Some of the relations records are saved to DB when order record is saved,"","Before the fix unnecessary UPDATE queries were being triggered that can have an impact performance wise. After the fix, the unnecessary UPDATE queries were eliminated.",<https://github.com/magento/magento2/commit/1366ae5e>,Framework
ACP2E-3362,"search_query table when of huge size, has large impact on load time frontend","","Improved search listing page load time. Prior to the fix, the search listing page was being delayed because of an unoptimized query.",<https://github.com/magento/magento2/commit/55615e61>,Search
ACP2E-3363,Magento\GraphQl\App\GraphQlCustomerMutationsTest.php Integration Test failure,"",'-,<https://github.com/magento/magento2/commit/a4cf5e62>,"GraphQL, Test framework"
ACP2E-3364,Reset button doesn't work on Add/Edit admin user,"","Previously, the Reset button did not function on the Add/Edit Admin User page. Now, in the Admin panel under System -> Permissions -> All Users, the Reset button will work correctly on the Add/Edit Admin User page.",<https://github.com/magento/magento2/commit/5184c067>,Admin UI
ACP2E-3367,Site Header | Special Characters Breaking the Customer Welcome section,"","After the fix, special characters are shown correctly in the customer welcome section.",<https://github.com/magento/magento2/commit/1366ae5e>,UI Framework
ACP2E-3374,"In Backend, default store values for product attributes (instead of expected admin values)","","Now In Backend, admin values are used instead of default store values for product attributes.",<https://github.com/magento/magento2/commit/5184c067>,Promotion
ACP2E-3375,[CLOUD] In admin there are many javascript error in console,"","Previously, In admin panel there are many javascript error in console. Now, In the admin panel, there will be no JavaScript errors in the console, and all the default JavaScript functions will execute successfully without any issues.",<https://github.com/magento/magento2/commit/d75cff27>,Framework
ACP2E-3376,[CLOUD] Unable to update the Base-prices using REST API (The value of 'value_id' in 'catalog_product_entity_decimal' is not incremented correctly.),"","Previously to this fix, when rest api /rest/default/V1/products/base-prices was called, the increment id was increased wrongly leaving a gap between values. After the fix the increment id is increased as expected, incrementaly. Also the value_id field range was increased.",<https://github.com/magento/magento2/commit/d50f6b5d>,APIs
ACP2E-3377,"Cart rules ""Fixed amount discount for whole cart""  action applies discounts incorrectly when adding bundle products","","Fixed amount cart rules were not being applied properly for bundle products. Now, when calculating the total discount amount, bundle child products are taken into consideration, resulting in proper discount calculation.",<https://github.com/magento/magento2/commit/1366ae5e>,Promotion
ACP2E-3380,[GraphQl] Wishlist items are visible via GraphQl but not visible on storefront,"","Wishlist products where not being properly listed when requested via GraphQL. Now, wishlist products are filtered based on provided store context.",<https://github.com/magento/magento2/commit/55615e61>,GraphQL
ACP2E-3382,Exported customer address cannot be imported,"","Customer address import will proceed as expected. Previously, a customer address import file would not pass validation if Share Customer Accounts = Global, and there are two websites where the default website has a restricted country list, and the address that is being imported is for another website where allowed countries are different",<https://github.com/magento/magento2/commit/ec7e32a9>,Import / export
ACP2E-3385,[CLOUD] B2B: category issue via GraphQL,"","After the fix, the categories graphql query returns categories with allow permission even if the root category doesn't have allow permission.","","Catalog, GraphQL"
ACP2E-3387,[Cloud] Magento: queue message has been deleted,"","Queue messages are now properly being cleared out. Prior to the fix, given that SQL queue system was being used, new messages could have been deleted if the cleaning queue message was running at the same time.",<https://github.com/magento/magento2/commit/d50f6b5d>,Framework
ACP2E-3388,[Cloud] Dynamic blocks will not function properly,"",Logged-in customer segments are now cleared after logout preventing the guest session from inheriting previously logged-in segments,"",Content
ACP2E-3391,[Cloud] Unable to set custom_attributes while comany creation over the graphql call,"","After the fix, it's possible to set the ""custom_attributes"" attribute for the company admin during company creation using graphql request.","","B2B, GraphQL"
ACP2E-3392,Broken validation for “Maximum Qty Allowed in Shopping Cart”,"","Previously, when we put `Maximum Qty Allowed in Shopping Cart` empty, it did not throw any exception, though an empty value is not accepted here. After this fix applies, putting an empty string will throw exceptions and will not allow saving the product.",<https://github.com/magento/magento2/commit/d50f6b5d>,Admin UI
ACP2E-3402,Checkout shipping address form get update with wrong address,"","shippingAddressFromData is now saved into the local storage per website. Previously, an address from the wrong website could be auto-populated into the shipping address form during checkout if a store code was used in the URL and checkout was initiated from multiple websites during the same guest session.",<https://github.com/magento/magento2/commit/078c387e>,Cart & Checkout
ACP2E-3403,Cart Price Rules Miscalculating Discount,"","Fixed amount discounts are now being properly calculated. Prior to the fix, fixed amount discounts were not totalled properly for bundle products.",<https://github.com/magento/magento2/commit/0b488dd1>,Promotion
ACP2E-3404,[GraphQL] Reset password email inconsistency between content and subject/link,"","The issue has been resolved by simulating the correct store where the customer's account is registered when sending the password reset request, regardless of the website store.",<https://github.com/magento/magento2/commit/5184c067>,GraphQL
ACP2E-3405,[CLOUD] Checkout does not retain the selected billing address when Address Search is enabled,"","Checkout payment page will now retain the selected billing address when address search is enabled. Previously if ""Number of Customer Addresses Limit"" is configured to 1, and customer has more than one address, the selected billing address would disappear after reloading the page.","",Cart & Checkout
ACP2E-3406,Nested categories in rule conditions not showing,"",Fixed issue when nested categories under level 3 category are not shown in marketing rules for category condition,<https://github.com/magento/magento2/commit/88660e79>,Promotion
ACP2E-3407,Gift Card Product | Cart Merge is merging Gift Cards,"",Giftcard products now merged correctly in the cart,<https://github.com/magento/magento2/commit/88660e79>,Cart & Checkout
ACP2E-3408,[Pagebuilder Preview UI Issue] The buttons in the Page Builder column aren't lining up correctly,"","The buttons in the Page Builder columns are now correctly aligned. Previously, they were misaligned within the Page Builder columns.",<https://github.com/magento/magento2-page-builder/commit/1a52ef4c>,Admin UI
ACP2E-3410,Configurable product edit form load causes timeout and memory exhaustion,"","Prior to the fix configurable product variations were constructed based on all possible attribute option combinations. In cases where attributes had a lot of options this resulted in a lengthy and resource consuming operation. Now, configurable product variations are constructed based on existing child product attributes. This results in far less calculations - thus an improved usage of resources.",<https://github.com/magento/magento2/commit/078c387e>,Catalog
ACP2E-3413,All products are indexed with [is_out_of_stock] = 1 when the SKU is not set as a searchable attribute,"","After the fix, the ""is_out_of_stock"" in catalog search index is correct, even when sku is not searchable.",<https://github.com/magento/inventory/commit/5b21b7af>,"Inventory / MSI, Search"
ACP2E-3416,Admin duplicated place order requests sent,"","Previously, the ""Submit Order"" button in the admin panel could be clicked multiple times or activated by repeatedly pressing the ""Enter"" key, causing duplicate or order submissions with error. Now, preventing additional actions until the order is fully processed, ensuring that only one order is submitted.",<https://github.com/magento/magento2/commit/5184c067>,Order
ACP2E-3419,[Cloud] products GraphQL query returns related products not assigned to current website,"","Previously, for graphQL query, multi-store related products do not show properly for product query. After this fix is applied, for products, graphQL query multi-store related products showing accordingly.",<https://github.com/magento/magento2/commit/078c387e>,GraphQL
ACP2E-3424,[Cloud] Removing template with missing images causes pub/media to be deleted,"","Previously to this fix, if the preview image name was missing for a pagebuilder template, the pub/media folder was deleted. After the fix, only the template will be deleted and the preview image if found.",<https://github.com/magento/magento2-page-builder/commit/0986853b>,"Admin UI, Staging & Preview"
ACP2E-3425,Admin can still place order even without payment method,"",Previously selected payment method is now retained when the payment method reappears in the list of available payments.,<https://github.com/magento/magento2/commit/d50f6b5d>,Order
ACP2E-3430,Latest security updates with TinyMCE 7 missing font size,"","Font size and font family selectors are now available in WYSIWYG editor. Prior to this fix, with TinyMCE 7 these were not available in the editor interface.","<https://github.com/magento/magento2/commit/d50f6b5d>, <https://github.com/magento/magento2-page-builder/commit/2c2f7a0e>",Content
ACP2E-3431,Products Ordered report is not exporting. 404 error instead.,"",Products Ordered report excport to CSV and XML now works as expected,<https://github.com/magento/magento2/commit/88660e79>,Admin UI
ACP2E-3432,usage_limit and uses_per_customer not updating in salesrule_coupon Table,"",Updating Uses per Coupon and Uses per Customer in cart price rule will now affect existing autogenerated coupons. Previously the new values affected only new coupons,<https://github.com/magento/magento2/commit/88660e79>,Promotion
ACP2E-3433,Allow Countries configuration causes issues in customer address configurations,"",Now selecting Allow Countries configuration doesn't influence countries shown for outside the given scope. Previously Allow Countries configuration influenced customer address attribute outside given scope,<https://github.com/magento/magento2/commit/078c387e>,Account
ACP2E-3441,Unable to download files from Data Collector,"",Downloading backup no longer shows blank page instead of downloading the file.,"",Other Developer Tools
ACP2E-3443,Return Screen is messed up when refresh the screen,"",The user can refresh the page without experiencing screen distortion.,"",Returns
ACP2E-3445,Shared Gift Registry shows the event date as 1 day earlier,"",Gift Registry date is shown correctly now on Storefront,"",Account
ACP2E-3447,Using the wrong Store ID in GraphQL header causes fatal memory error,"",Sending wrong store code in GraphQL request no longer results in excessive memory consumption.,<https://github.com/magento/magento2/commit/d50f6b5d>,GraphQL
ACP2E-3448,[Cloud] Wrong quantity in CSV file did not give error,"","Now stock sources import will throw validation error for non numeric values in the quantity column. Previously, importing stock sources with non numeric value in the quantity column resulted in the quantity being set to 0.",<https://github.com/magento/inventory/commit/5b21b7af>,Import / export
ACP2E-3453,Unable to Update Scheduled Update When Using Unique Custom Category Attribute,"",Fixed an issue where updating a scheduled update for a category was not possible if the category had a unique attribute,<https://github.com/magento/magento2/commit/078c387e>,Staging & Preview
ACP2E-3454,Fotorama doesn't load video correctly when using Swatches and option is pre-selected via URL,"","Product videos will now render properly on configurable product details page, if the URL contains selected options.",<https://github.com/magento/magento2/commit/078c387e>,Catalog
ACP2E-3456,"Cart price rule doesn't consider parent category when it is using ""equals or greater than"" condition.","",Cart Price Rules now consider parent category correctly when it is used in advanced conditions,<https://github.com/magento/magento2/commit/93359343>,Promotion
ACP2E-3457,TinyMCE JS Error in console after Js minification enable with production mode,"","Previously, enabling JavaScript minification in production mode within the admin panel caused JavaScript errors related to TinyMCE 7 to appear in the browser console, affecting the functionality and user experience. Now, This issue has been resolved, ensuring that TinyMCE 7 operates smoothly without generating any errors, even when JS minification is enabled.",<https://github.com/magento/magento2/commit/56463d5e>,Admin UI
ACP2E-3458,[MFTF] StorefrontCheckoutProcessForQuoteWithoutNegotiatedPricesTest,"",Fixed mftfs,<https://github.com/magento/magento2/commit/078c387e>,Test framework
ACP2E-3459,Request for additional changes to fully complete the ACP2E-3375 fix,"",'-,<https://github.com/magento/magento2/commit/d50f6b5d>,Admin UI
ACP2E-3461,PageBuilder Carousel Widget shows products that doesn't match conditions,"",Product list used in widgets now respects category condition,<https://github.com/magento/magento2/commit/078c387e>,Catalog
ACP2E-3463,Invalid discount calculation with priority,"","In the case of fixed amount appllied for the whole cart discount type, the amount was not being calculated properly for cart items that were already discounted by a previous promotion. Now, discounts are properly summed up.",<https://github.com/magento/magento2/commit/078c387e>,Promotion
ACP2E-3465,Place order button disappears in Purchase Order details,"",Fixed an issue where Place order button was hidden for approved purchase orders when a product variation had minimum number in card specified,"",B2B
ACP2E-3467,[Cloud] 500 response to empty Graphql response on 2.4.7,"","After the fix, invalid graphql requests will not be logged into the exception.log file.",<https://github.com/magento/magento2/commit/1984c61c>,GraphQL
ACP2E-3469,Validation Error Triggered for All Products in Group When One Has Invalid Quantity,"","Now, the validation error is correctly triggered for all products in the group when one product has an invalid quantity, which was not happening previously.",<https://github.com/magento/magento2/commit/56463d5e>,Catalog
ACP2E-3471,[Cloud] Products in Category - Add Products - Assign - Select All,"",Users can now select or deselect products using the toggle.,"",Product
ACP2E-3474,[CLOUD] No such entity with id = 0 with b2b module,"","Logged in user is able to add product to cart when Shared Catalog features are enabled.
Previously adding product to cart resulted in Error 'no such entity with id = 0'","",B2B
ACP2E-3475,Product export causes OOM even with 4G memory limit,"","Previous to this fix, the product export failed if product attributes had thousands of option values even with 4G available memory. After this fix, the product export should finish exporting the csv file.",<https://github.com/magento/magento2/commit/1984c61c>,Import / export
ACP2E-3476,[Cloud] Product import time has significantly increased,"","Previous to the fix, catalog product import with over 10K entries had a significant time degradation. After the fix, the import of catalog product executes in a timely manner.",<https://github.com/magento/magento2/commit/87d012e5>,"Import / export, Performance"
ACP2E-3486,Default values are not set for date and time attributes with products RestAPI,"",Default values now sets properly for date and date and time attributes via RestAPI,<https://github.com/magento/magento2/commit/1984c61c>,APIs
ACP2E-3488,"Existing quote data is not update / not visible, instead create a new quote record when trigger_recollect = 1","",Customer's shopping cart items no longer disappear as result of a product being deleted after it was added to the shopping cart.,<https://github.com/magento/magento2/commit/1984c61c>,Cart & Checkout
ACP2E-3498,Incorrect discount value when multiple cart price rules are applied simultaneously with discounted/special priced products,"","Prior to the fix, fixed amount for whole cart rules were not being applied properly if more than one was being applied. Now, fixed amount discount cart rules are being applied properly.",<https://github.com/magento/magento2/commit/1984c61c>,Promotion
ACP2E-3516,Indexers Temporary tables are not cleaned up if the process is terminated,"",CatalogRule indexer temporary tables are now cleaned up if the indexer process is terminated,<https://github.com/magento/magento2/commit/1984c61c>,Catalog
ACP2E-3520,[QUANS] Core unit test failures in 2.4.7-p3,"",Release notes for this test is not needed since it is a Unit-test improvement.,<https://github.com/magento/magento2/commit/1984c61c>,Catalog
ACP2E-3521,[CLOUD] Issue with Products are Not Visible in Frontend After Saving in Magento Admin,"",After the fix configurable products that have child products with long names will not be missed in the storefront.,<https://github.com/magento/magento2/commit/1984c61c>,"Catalog, Search"
ACP2E-948,"Product listing GraphQL query limited to total_count 10,000 products only","","After the fix, the search result is not limited to 10000 products, it becomes possible to get all products matching the search criteria even if the count is more than 10000.",<https://github.com/magento/magento2/commit/a4cf5e62>,"GraphQL, Search"
LYNX-426,The discount_percentage is not calculated for bundle products with dynamic price,"","","",Other
LYNX-485,"Bundle products still shows ""IN_STOCK"" when one of its bundled product out of stock","","","",Other
LYNX-486,not_available_message and only_x_left_in_stock doesn't show the same available stock,"","","",Other
LYNX-488,original_row_total field returning wrong value,"","","",Other
LYNX-503,Grouped product thumbnail should be shown according to the configuration     .,"","","",Other
LYNX-510,Error when querying selected_options in OrderAddress,"","","",Other
LYNX-512,original_item_price is not including discounts,"","","",Other
LYNX-530,Not available message is not showing the available inventory quantity,"","","",Other
LYNX-532,"""OUT_OF_STOCK"" status returns on Simple with custom options products with multi select options","","","",Other
LYNX-533,Error (GQL): cart.itemsV2.items.product.custom_attributesV2 returns a server error,"","","",Other
LYNX-536,orders/date_of_first_order always returning null,"","","",Other
LYNX-544,Customer must not be able to cancel a partially shipped order,"","","",Other
LYNX-548,Error codes for order cancellation based on the error message,"","","",Other
LYNX-581,Move back cookie-related properties from private to protected,"","","",Other
LYNX-600,Increase max default GraphQL query complexity to 1000,"","","",GraphQL
